"지역(읍,면,동)",관리기관명,지번주소,설치목적,위도,경도,임시
제주시,제주특별자치도,제주특별자치도 제주시 이도일동 1294,어린이보호,33.503,126.529,제주시
제주시,제주특별자치도,제주특별자치도 제주시 이도일동 1650-1,어린이보호,33.503,126.526,제주시
제주시,제주특별자치도,제주특별자치도 제주시 삼도일동 273,어린이보호,33.503,126.525,제주시
제주시,제주특별자치도,제주특별자치도 제주시 일도이동 352,어린이보호,33.507,126.538,제주시
제주시,제주특별자치도,제주특별자치도 제주시 일도이동 446,어린이보호,33.508,126.537,제주시
제주시,제주특별자치도,제주특별자치도 제주시 일도이동 1050-1,어린이보호,33.510,126.529,제주시
제주시,제주특별자치도,제주특별자치도 제주시 일도이동 1050-1,어린이보호,33.509,126.529,제주시
제주시,제주특별자치도,제주특별자치도 제주시 화북일동 29-5,어린이보호,33.519,126.576,제주시
제주시,제주특별자치도,제주특별자치도 제주시 화북일동 12-2,어린이보호,33.518,126.576,제주시
제주시,제주특별자치도,제주특별자치도 제주시 화북일동 3907-7,어린이보호,33.518,126.563,제주시
제주시,제주특별자치도,제주특별자치도 제주시 화북일동 3970-3,어린이보호,33.520,126.563,제주시
제주시,제주특별자치도,제주특별자치도 제주시 도평동 872-1,어린이보호,33.480,126.447,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 동복리 1759,어린이보호,33.553,126.713,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 동복리 1759,어린이보호,33.552,126.713,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 세화리 3637,어린이보호,33.522,126.858,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 종달리 4982,어린이보호,33.492,126.897,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 한동리 1182-4,어린이보호,33.538,126.829,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 월정리 101-3,어린이보호,33.551,126.799,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 김녕리 2121,어린이보호,33.555,126.751,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 종달리 4982,어린이보호,33.493,126.896,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 평대리 3344,어린이보호,33.529,126.840,제주시
구좌읍,제주특별자치도,제주특별자치도 제주시 구좌읍 하도리 2322-5,어린이보호,33.518,126.878,제주시
제주시,제주특별자치도,제주특별자치도 제주시 노형동 2584-1,어린이보호,33.486,126.470,제주시
제주시,제주특별자치도,제주특별자치도 제주시 노형동 2584-1,어린이보호,33.487,126.470,제주시
제주시,제주특별자치도,제주특별자치도 제주시 해안동 1948,어린이보호,33.457,126.455,제주시
제주시,제주특별자치도,제주특별자치도 제주시 봉개동 2736,어린이보호,33.491,126.593,제주시
