중심 POI X 좌표,중심 POI Y 좌표,관광지명,주소,중심카테고리 명_대,분류,순위
126.5638,33.2494,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,관광지,쇼핑,1
126.4928,33.5070,제주국제공항,제주 제주시 공항로 2-0,관광지,기타관광,2
126.5275,33.5122,동문재래시장,제주 제주시 관덕로14길 20-0,관광지,쇼핑,3
126.9418,33.4582,성산일출봉,제주 서귀포시 일출로 284-12,관광지,자연관광,4
126.2396,33.3941,협재해수욕장,제주 제주시,관광지,자연관광,5
126.9303,33.4239,섭지코지,제주 서귀포시 섭지코지로 107-0,관광지,기타관광,6
126.6697,33.5433,함덕해수욕장,제주 제주시 조함해안로 525-0,관광지,자연관광,7
126.2893,33.3059,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,관광지,문화관광,8
126.3048,33.4505,곽지해수욕장,제주 제주시,관광지,자연관광,9
126.4250,33.2376,주상절리대,제주 서귀포시 이어도로 36-30,관광지,기타관광,10
126.8066,33.4844,비자림,제주 제주시 비자숲길 55-0,관광지,자연관광,11
126.3448,33.3965,아르떼뮤지엄/제주,제주 제주시 어림비로 478-0,관광지,문화관광,12
126.3145,33.2318,용머리해안,제주 서귀포시 사계남로216번길 24-32,관광지,기타관광,13
126.4530,33.4979,이호테우해변,제주 제주시,관광지,자연관광,14
126.9278,33.4328,아쿠아플라넷/제주,제주 서귀포시 섭지코지로 93-15,관광지,문화관광,15
126.9246,33.4524,광치기해변,제주 서귀포시,관광지,자연관광,16
126.3697,33.2897,카멜리아힐,제주 서귀포시 병악로 166-0,관광지,문화관광,17
126.5546,33.2472,천지연폭포,제주 서귀포시 서문서로 1-1,관광지,자연관광,18
126.4115,33.2450,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,관광지,자연관광,19
126.1706,33.3419,신창풍차해안도로,제주 제주시,관광지,기타관광,20
126.7597,33.5582,김녕해수욕장,제주 제주시 해맞이해안로 7-6,관광지,자연관광,21
126.2353,33.3899,금능해수욕장,제주 제주시 금능길 119-10,관광지,자연관광,22
126.4244,33.2413,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,관광지,쇼핑,23
126.3058,33.3545,금오름,제주 제주시,관광지,자연관광,24
126.5715,33.2448,정방폭포,제주 서귀포시,관광지,자연관광,25
126.4818,33.4855,그랜드하얏트/제주,제주 제주시 노연로 12-0,숙박,숙박,26
126.5120,33.5160,용두암,제주 제주시 용두암길 15-0,관광지,기타관광,27
126.7783,33.4440,스누피가든,제주 제주시 금백조로 930-0,관광지,기타관광,28
126.6237,33.2523,쇠소깍,제주 서귀포시 쇠소깍로 128-0,관광지,기타관광,29
126.9281,33.4305,휘닉스제주,제주 서귀포시 섭지코지로 107-0,숙박,숙박,30
126.3577,33.3662,새별오름,제주 제주시,관광지,자연관광,31
126.7961,33.5559,월정리해변,제주 제주시,관광지,자연관광,32
126.4081,33.2473,신라호텔/제주,제주 서귀포시 중문관광로72번길 75-0,숙박,숙박,33
126.7693,33.5278,만장굴,제주 제주시 만장굴길 182-0,관광지,자연관광,34
126.5090,33.2483,이마트/서귀포점,제주 서귀포시 일주동로 9209-0,관광지,쇼핑,35
126.3175,33.3055,제주신화월드/랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,숙박,숙박,36
126.6485,33.4150,한라산둘레길/사려니숲길,제주 제주시,관광지,레저스포츠,37
126.4167,33.2506,천제연폭포,제주 서귀포시 천제연로 132-0,관광지,자연관광,38
126.8998,33.4396,빛의벙커,제주 서귀포시,관광지,문화관광,39
126.8374,33.3278,표선해수욕장,제주 서귀포시,관광지,자연관광,40
126.9345,33.4728,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,관광지,기타관광,41
126.3013,33.2265,사계해수욕장,제주 서귀포시,관광지,자연관광,42
126.4104,33.2486,롯데호텔/제주점,제주 서귀포시 중문관광로72번길 35-0,숙박,숙박,43
126.8610,33.5253,세화해수욕장,제주 제주시 충렬로 141-1,관광지,자연관광,44
126.3665,33.3901,9.81파크,제주 제주시 천덕로 880-24,관광지,문화관광,45
126.3133,33.2410,산방산,제주 서귀포시 산방로 218-10,관광지,자연관광,46
126.9432,33.5023,홍조단괴해빈,제주 제주시,관광지,자연관광,47
126.9670,33.4973,검멀레해수욕장,제주 제주시,관광지,자연관광,48
126.6676,33.4472,에코랜드테마파크,제주 제주시 번영로 1278-169,관광지,문화관광,49
126.4551,33.4649,노형수퍼마?,제주 제주시 노형로 89-0,관광지,문화관광,50
126.6930,33.4329,산굼부리,제주 제주시,관광지,문화관광,51
126.7556,33.4534,비밀의숲,제주 제주시,관광지,레저스포츠,52
126.7920,33.3055,소노캄/제주,제주 서귀포시 일주동로 6347-17,숙박,숙박,53
126.3739,33.4813,하귀애월해안도로,제주 제주시,관광지,기타관광,54
126.3158,33.3067,제주신화월드/신화리조트관,제주 서귀포시 서광동로34번길 14-19,숙박,숙박,55
126.3176,33.3075,제주신화월드/메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,숙박,숙박,56
126.4804,33.4849,이마트/신제주점,제주 제주시 1100로 3348-0,관광지,쇼핑,57
126.4080,33.2525,그랜드조선/제주,제주 서귀포시 중문관광로72번길 60-0,숙박,숙박,58
126.3171,33.3024,제주신화월드/서머셋,제주 서귀포시 신화역사로304번길 89-0,숙박,숙박,59
126.9423,33.5095,하우목동항,제주 제주시,관광지,자연관광,60
126.9505,33.4921,천진항,제주 제주시,관광지,자연관광,61
126.5350,33.5195,제주항연안여객터미널,제주 제주시 임항로 111-0,관광지,기타관광,62
126.4065,33.2595,호텔더본/제주,제주 서귀포시 색달로 18-0,숙박,숙박,63
126.4724,33.5093,도두동무지개해안도로,제주 제주시,관광지,기타관광,64
126.9322,33.4731,성산항,제주 서귀포시,관광지,자연관광,65
126.6716,33.5414,소노벨/제주,제주 제주시 신북로 577-0,숙박,숙박,66
126.4228,33.2421,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,숙박,숙박,67
126.3106,33.4588,한담해안산책로,제주 제주시 애월로 0-0,관광지,레저스포츠,68
126.2988,33.2489,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,관광지,체험관광,69
126.3154,33.3016,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,관광지,문화관광,70
126.4494,33.2461,약천사,제주 서귀포시 이어도로 293-28,관광지,역사관광,71
126.4881,33.4704,수목원길야시장,제주 제주시,관광지,쇼핑,72
126.2899,33.2062,송악산둘레길,제주 서귀포시,관광지,레저스포츠,73
126.9341,33.4729,우도도항선선착장,제주 서귀포시 성산등용로 130-21,관광지,기타관광,74
126.3520,33.2900,헬로키티아일랜드,제주 서귀포시 한창로 340-0,관광지,기타관광,75
126.2996,33.3042,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,관광지,문화관광,76
126.4884,33.4853,메종글래드제주호텔,제주 제주시 노연로 80-0,숙박,숙박,77
126.8446,33.3214,해비치호텔,제주 서귀포시 민속해안로 537-0,숙박,숙박,78
126.2391,33.3895,한림공원,제주 제주시 한림로 300-0,관광지,문화관광,79
126.6373,33.4490,한화리조트/제주,제주 제주시 명림로 575-107,숙박,숙박,80
126.2000,33.3652,판포포구,제주 제주시,관광지,자연관광,81
126.7532,33.4137,보롬왓,제주 서귀포시 번영로 2350-104,관광지,기타관광,82
126.7020,33.2733,금호리조트/제주,제주 서귀포시 태위로 522-12,숙박,숙박,83
126.3707,33.3004,뽀로로&타요테마파크/제주,제주 서귀포시 병악로 269-0,관광지,문화관광,84
126.8418,33.3225,제주민속촌,제주 서귀포시 민속해안로 631-34,관광지,역사관광,85
126.5179,33.5189,라마다프라자제주호텔,제주 제주시 탑동로 66-0,숙박,숙박,86
126.6281,33.4369,제주절물자연휴양림,제주 제주시 명림로 584-0,관광지,자연관광,87
126.7035,33.2731,남원큰엉,제주 서귀포시,관광지,기타관광,88
126.4025,33.2545,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,숙박,숙박,89
126.8010,33.4879,메이즈랜드,제주 제주시 비자림로 2134-47,관광지,문화관광,90
126.6349,33.3093,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,관광지,문화관광,91
