날짜,관광지명,관광객수
2009.01,(주)제주미니미니랜드,11484
2009.01,국립제주박물관,26913
2009.01,도립미술관,0
2009.01,만장굴관광지,32019
2009.01,목석원,4169
2009.01,민속자연사박물관,41525
2009.01,비자림,3601
2009.01,산굼부리,19605
2009.01,삼성혈,5392
2009.01,삼양선사유적지,1322
2009.01,생각하는 정원,10063
2009.01,절물자연휴양림,13858
2009.01,제주도립 김창열미술관,0
2009.01,제주돌문화공원,4233
2009.01,제주러브랜드,32081
2009.01,제주목관아지,4743
2009.01,제주별빛누리공원,0
2009.01,제주항일기념관,2337
2009.01,한라산국립공원,67479
2009.01,한림공원,43936
2009.01,항몽 유적지,4073
2009.01,해녀 박물관,12196
2009.01,감귤박물관,5614
2009.01,기당미술관,452
2009.01,마라해양도립공원,32436
2009.01,박물관은살아있다,0
2009.01,산방산,36949
2009.01,서귀포도립해양공원,33812
2009.01,서귀포자연휴양림,2450
2009.01,서복전시관,2603
2009.01,성산일출봉,60563
2009.01,소리섬박물관,0
2009.01,소인국테마파크,58447
2009.01,신영영화박물관,6647
2009.01,아프리카박물관,11046
2009.01,여미지식물원,62106
2009.01,이중섭미술관,6932
2009.01,익스트림 아일랜드,0
2009.01,일출랜드,29391
2009.01,정방폭포,20215
2009.01,제주민속촌박물관,26436
2009.01,제주조각공원,1891
2009.01,제주추사관,0
2009.01,중문주상절리대,57735
2009.01,천제연폭포,26291
2009.01,천지연폭포,62665
2009.01,카멜리아힐,0
2009.01,테디베어뮤지엄,33974
2009.01,퍼시픽랜드,27195
2009.01,아쿠아플라넷,0
2009.01,화락원,0
2009.02,(주)제주미니미니랜드,11682
2009.02,국립제주박물관,13181
2009.02,도립미술관,0
2009.02,만장굴관광지,28922
2009.02,목석원,3553
2009.02,민속자연사박물관,38311
2009.02,비자림,4375
2009.02,산굼부리,17994
2009.02,삼성혈,4321
2009.02,삼양선사유적지,1029
2009.02,생각하는 정원,10234
2009.02,절물자연휴양림,20395
2009.02,제주도립 김창열미술관,0
2009.02,제주돌문화공원,4855
2009.02,제주러브랜드,37561
2009.02,제주목관아지,12175
2009.02,제주별빛누리공원,0
2009.02,제주항일기념관,2920
2009.02,한라산국립공원,68470
2009.02,한림공원,44017
2009.02,항몽 유적지,3423
2009.02,해녀 박물관,10911
2009.02,감귤박물관,4965
2009.02,기당미술관,426
2009.02,마라해양도립공원,24005
2009.02,박물관은살아있다,0
2009.02,산방산,38978
2009.02,서귀포도립해양공원,21524
2009.02,서귀포자연휴양림,1809
2009.02,서복전시관,3192
2009.02,성산일출봉,50405
2009.02,소리섬박물관,0
2009.02,소인국테마파크,43631
2009.02,신영영화박물관,5113
2009.02,아프리카박물관,8053
2009.02,여미지식물원,60137
2009.02,이중섭미술관,6225
2009.02,익스트림 아일랜드,0
2009.02,일출랜드,28884
2009.02,정방폭포,20440
2009.02,제주민속촌박물관,20981
2009.02,제주조각공원,1496
2009.02,제주추사관,0
2009.02,중문주상절리대,70044
2009.02,천제연폭포,30590
2009.02,천지연폭포,64288
2009.02,카멜리아힐,0
2009.02,테디베어뮤지엄,31043
2009.02,퍼시픽랜드,26085
2009.02,아쿠아플라넷,0
2009.02,화락원,0
2009.03,(주)제주미니미니랜드,24777
2009.03,국립제주박물관,17262
2009.03,도립미술관,0
2009.03,만장굴관광지,27072
2009.03,목석원,6451
2009.03,민속자연사박물관,90213
2009.03,비자림,6385
2009.03,산굼부리,41184
2009.03,삼성혈,5513
2009.03,삼양선사유적지,1392
2009.03,생각하는 정원,14665
2009.03,절물자연휴양림,33278
2009.03,제주도립 김창열미술관,0
2009.03,제주돌문화공원,10796
2009.03,제주러브랜드,61904
2009.03,제주목관아지,5049
2009.03,제주별빛누리공원,0
2009.03,제주항일기념관,5622
2009.03,한라산국립공원,62945
2009.03,한림공원,82138
2009.03,항몽 유적지,7095
2009.03,해녀 박물관,22761
2009.03,감귤박물관,4291
2009.03,기당미술관,376
2009.03,마라해양도립공원,28596
2009.03,박물관은살아있다,0
2009.03,산방산,90146
2009.03,서귀포도립해양공원,30810
2009.03,서귀포자연휴양림,1571
2009.03,서복전시관,926
2009.03,성산일출봉,94454
2009.03,소리섬박물관,0
2009.03,소인국테마파크,56749
2009.03,신영영화박물관,8385
2009.03,아프리카박물관,6411
2009.03,여미지식물원,71466
2009.03,이중섭미술관,4127
2009.03,익스트림 아일랜드,0
2009.03,일출랜드,67317
2009.03,정방폭포,26696
2009.03,제주민속촌박물관,37838
2009.03,제주조각공원,2382
2009.03,제주추사관,0
2009.03,중문주상절리대,113856
2009.03,천제연폭포,38168
2009.03,천지연폭포,114539
2009.03,카멜리아힐,0
2009.03,테디베어뮤지엄,27123
2009.03,퍼시픽랜드,33332
2009.03,아쿠아플라넷,0
2009.03,화락원,0
2009.04,(주)제주미니미니랜드,37183
2009.04,국립제주박물관,50878
2009.04,도립미술관,0
2009.04,만장굴관광지,38066
2009.04,목석원,8174
2009.04,민속자연사박물관,149825
2009.04,비자림,11270
2009.04,산굼부리,83203
2009.04,삼성혈,8385
2009.04,삼양선사유적지,3673
2009.04,생각하는 정원,18032
2009.04,절물자연휴양림,51499
2009.04,제주도립 김창열미술관,0
2009.04,제주돌문화공원,15619
2009.04,제주러브랜드,68262
2009.04,제주목관아지,9547
2009.04,제주별빛누리공원,0
2009.04,제주항일기념관,9055
2009.04,한라산국립공원,99649
2009.04,한림공원,139009
2009.04,항몽 유적지,18923
2009.04,해녀 박물관,25420
2009.04,감귤박물관,9871
2009.04,기당미술관,443
2009.04,마라해양도립공원,44181
2009.04,박물관은살아있다,0
2009.04,산방산,137508
2009.04,서귀포도립해양공원,40201
2009.04,서귀포자연휴양림,3356
2009.04,서복전시관,0
2009.04,성산일출봉,172096
2009.04,소리섬박물관,0
2009.04,소인국테마파크,90957
2009.04,신영영화박물관,15000
2009.04,아프리카박물관,9864
2009.04,여미지식물원,97995
2009.04,이중섭미술관,4943
2009.04,익스트림 아일랜드,0
2009.04,일출랜드,100588
2009.04,정방폭포,45974
2009.04,제주민속촌박물관,69061
2009.04,제주조각공원,4058
2009.04,제주추사관,0
2009.04,중문주상절리대,186585
2009.04,천제연폭포,51618
2009.04,천지연폭포,176192
2009.04,카멜리아힐,0
2009.04,테디베어뮤지엄,42524
2009.04,퍼시픽랜드,54215
2009.04,아쿠아플라넷,0
2009.04,화락원,0
2009.05,(주)제주미니미니랜드,43831
2009.05,국립제주박물관,33922
2009.05,도립미술관,0
2009.05,만장굴관광지,49333
2009.05,목석원,7583
2009.05,민속자연사박물관,141607
2009.05,비자림,15250
2009.05,산굼부리,83470
2009.05,삼성혈,8171
2009.05,삼양선사유적지,8604
2009.05,생각하는 정원,19889
2009.05,절물자연휴양림,49620
2009.05,제주도립 김창열미술관,0
2009.05,제주돌문화공원,27052
