,상호,주소,위도,경도
0,성산일출봉농협주유소,제주특별자치도 서귀포시 성산읍 일주동로 4521,33.425,126.907
1,혁신도시주유소,제주특별자치도 서귀포시 일주동로 9144,33.248,126.516
2,안덕하나주유소,제주특별자치도 서귀포시 안덕면 한창로 182,33.277,126.359
3,대정농협무릉주유소,제주특별자치도 서귀포시 대정읍 서삼중로 66,33.269,126.204
4,선반내주유소,제주특별자치도 서귀포시 일주동로 8780,33.253,126.550
5,유진주유소,제주특별자치도 서귀포시 표선면 번영로 3239,33.359,126.822
6,선진주유소,제주특별자치도 서귀포시 안덕면 한창로 334,33.289,126.352
7,대정농협주유소,제주특별자치도 서귀포시 대정읍 일주서로 2545,33.227,126.258
8,안덕농협주유소,제주특별자치도 서귀포시 안덕면 화순로 122,33.246,126.333
9,행복주유소,제주특별자치도 서귀포시 대정읍 일주서로 2294,33.245,126.273
10,중문농협주유소,제주특별자치도 서귀포시 일주서로 872,33.259,126.417
11,서광주유소,제주특별자치도 서귀포시 안덕면 중산간서로 1866,33.288,126.323
12,서귀포농협주유소,제주특별자치도 서귀포시 516로 38,33.257,126.579
13,스카이주유소,제주특별자치도 서귀포시 중산간동로 7859,33.265,126.576
14,강정천주유소,제주특별자치도 서귀포시 이어도로 634,33.233,126.483
15,최남단현대주유소,제주특별자치도 서귀포시 대정읍 상모로 14,33.226,126.287
16,신세기주유소,제주특별자치도 서귀포시 일주서로 976,33.258,126.406
17,정석주유소,제주특별자치도 서귀포시 안덕면 한창로 275,33.284,126.353
18,하원주유소,제주특별자치도 서귀포시 일주서로 479,33.253,126.457
19,수산주유소,제주특별자치도 서귀포시 성산읍 서성일로 898,33.438,126.875
20,월드컵주유소,제주특별자치도 서귀포시 516로 206-3,33.271,126.585
21,제주남원동부새마을금고주유소,제주특별자치도 서귀포시 남원읍 태위로 610,33.277,126.712
22,서귀주유소,제주특별자치도 서귀포시 중정로 122,33.248,126.569
23,(주)나현 도순주유소,제주특별자치도 서귀포시 일주서로 366,33.253,126.469
24,우수주유소,제주특별자치도 서귀포시 표선면 번영로 3497,33.336,126.828
25,남원농협주유소,제주특별자치도 서귀포시 남원읍 남조로 58,33.284,126.721
26,돈내코주유소,제주특별자치도 서귀포시 516로 438,33.290,126.594
27,동광주유소,제주특별자치도 서귀포시 안덕면 동광로 164,33.310,126.341
28,희망주유소,제주특별자치도 서귀포시 중산간동로 8231,33.261,126.537
29,㈜한라석유 탐라주유소,제주특별자치도 서귀포시 516로 86,33.261,126.582
30,(주)금영에너지,제주특별자치도 서귀포시 일주서로 1057,33.262,126.399
31,초원주유소,제주특별자치도 서귀포시 일주서로 27,33.249,126.505
32,그림주유소,제주특별자치도 서귀포시 표선면 표선동서로 111,33.314,126.826
33,동홍주유소,제주특별자치도 서귀포시 일주동로 8586,33.255,126.571
34,(주)태흥주유소,제주특별자치도 서귀포시 남원읍 태위로 990,33.288,126.750
35,감산주유소,제주특별자치도 서귀포시 안덕면 일주서로 1487,33.259,126.356
36,위미농협주유소,제주특별자치도 서귀포시 남원읍 일주동로 7830,33.270,126.646
