"지역(읍,면,동)",위도,경도
제주시,33.503,126.529
제주시,33.503,126.526
제주시,33.503,126.525
제주시,33.507,126.538
제주시,33.508,126.537
제주시,33.51,126.529
제주시,33.509,126.529
제주시,33.519,126.576
제주시,33.518,126.576
제주시,33.518,126.563
제주시,33.52,126.563
제주시,33.48,126.447
구좌읍,33.553,126.713
구좌읍,33.552,126.713
구좌읍,33.522,126.858
구좌읍,33.492,126.897
구좌읍,33.538,126.829
구좌읍,33.551,126.799
구좌읍,33.555,126.751
구좌읍,33.493,126.896
구좌읍,33.529,126.84
구좌읍,33.518,126.878
제주시,33.486,126.47
제주시,33.487,126.47
제주시,33.457,126.455
제주시,33.491,126.593
제주시,33.476,126.545
제주시,33.478,126.568
제주시,33.492,126.483
제주시,33.484,126.498
제주시,33.492,126.539
제주시,33.488,126.533
제주시,33.49,126.543
제주시,33.509,126.53
조천읍,33.534,126.636
한림읍,33.418,126.266
제주시,33.517,126.576
제주시,33.513,126.553
제주시,33.513,126.533
구좌읍,33.556,126.75
제주시,33.514,126.578
제주시,33.517,126.586
제주시,33.475,126.544
애월읍,33.451,126.388
애월읍,33.453,126.345
제주시,33.512,126.512
제주시,33.502,126.548
조천읍,33.539,126.673
제주시,33.516,126.523
제주시,33.522,126.587
제주시,33.516,126.586
제주시,33.514,126.585
제주시,33.52,126.588
애월읍,33.436,126.33
애월읍,33.453,126.346
제주시,33.491,126.513
제주시,33.509,126.537
한림읍,33.39,126.236
제주시,33.515,126.576
구좌읍,33.472,126.779
구좌읍,33.472,126.781
제주시,33.502,126.547
애월읍,33.484,126.416
애월읍,33.446,126.309
한경면,33.304,126.176
조천읍,33.539,126.674
조천읍,33.538,126.673
제주시,33.514,126.576
제주시,33.483,126.497
애월읍,33.483,126.416
한림읍,33.412,126.261
애월읍,33.447,126.308
제주시,33.51,126.528
제주시,33.511,126.509
제주시,33.521,126.587
제주시,33.511,126.542
제주시,33.511,126.543
제주시,33.508,126.564
제주시,33.498,126.551
제주시,33.487,126.539
제주시,33.485,126.471
애월읍,33.448,126.307
애월읍,33.435,126.33
애월읍,33.454,126.346
애월읍,33.45,126.391
애월읍,33.474,126.375
애월읍,33.466,126.393
제주시,33.481,126.446
제주시,33.489,126.532
조천읍,33.547,126.693
조천읍,33.533,126.619
조천읍,33.535,126.634
조천읍,33.54,126.672
조천읍,33.499,126.659
조천읍,33.538,126.672
한경면,33.304,126.178
한경면,33.326,126.252
한경면,33.304,126.179
한림읍,33.442,126.295
한림읍,33.357,126.296
한림읍,33.444,126.294
한림읍,33.39,126.237
제주시,33.492,126.478
제주시,33.485,126.477
제주시,33.476,126.542
애월읍,33.45,126.438
애월읍,33.484,126.415
애월읍,33.448,126.436
제주시,33.477,126.544
제주시,33.49,126.544
한림읍,33.41,126.263
제주시,33.52,126.586
제주시,33.503,126.53
한림읍,33.41,126.261
제주시,33.513,126.554
제주시,33.502,126.529
제주시,33.493,126.527
제주시,33.506,126.538
제주시,33.511,126.512
제주시,33.502,126.466
제주시,33.515,126.521
제주시,33.515,126.522
제주시,33.516,126.522
제주시,33.477,126.568
제주시,33.491,126.54
제주시,33.478,126.487
구좌읍,33.539,126.83
한림읍,33.411,126.264
제주시,33.51,126.522
제주시,33.508,126.513
제주시,33.515,126.534
조천읍,33.514,126.705
제주시,33.493,126.541
제주시,33.515,126.533
제주시,33.484,126.476
제주시,33.485,126.475
제주시,33.515,126.523
제주시,33.493,126.434
제주시,33.493,126.435
제주시,33.501,126.547
제주시,33.494,126.526
제주시,33.494,126.525
제주시,33.502,126.516
제주시,33.503,126.515
제주시,33.52,126.585
제주시,33.493,126.485
제주시,33.491,126.484
제주시,33.482,126.498
제주시,33.482,126.497
제주시,33.513,126.51
제주시,33.511,126.511
한경면,33.35,126.183
한림읍,33.412,126.26
한림읍,33.411,126.262
제주시,33.501,126.466
애월읍,33.461,126.437
애월읍,33.464,126.323
애월읍,33.464,126.32
애월읍,33.419,126.313
애월읍,33.48,126.402
한림읍,33.426,126.27
제주시,33.492,126.479
제주시,33.493,126.477
제주시,33.477,126.487
제주시,33.479,126.487
제주시,33.489,126.514
제주시,33.489,126.512
제주시,33.493,126.539
제주시,33.509,126.522
제주시,33.507,126.513
제주시,33.507,126.512
제주시,33.502,126.531
대정읍,33.225,126.256
대정읍,33.224,126.255
대정읍,33.226,126.255
안덕면,33.232,126.3
서귀포시,33.246,126.392
서귀포시,33.247,126.391
서귀포시,33.246,126.391
서귀포시,33.235,126.479
서귀포시,33.235,126.48
서귀포시,33.236,126.479
서귀포시,33.254,126.459
서귀포시,33.252,126.46
서귀포시,33.254,126.46
서귀포시,33.264,126.618
서귀포시,33.264,126.616
서귀포시,33.264,126.614
남원읍,33.275,126.654
남원읍,33.273,126.654
표선면,33.329,126.834
표선면,33.329,126.836
표선면,33.329,126.835
성산읍,33.408,126.897
성산읍,33.479,126.896
성산읍,33.449,126.915
성산읍,33.381,126.876
대정읍,33.288,126.285
대정읍,33.296,126.289
대정읍,33.296,126.292
대정읍,33.287,126.287
남원읍,33.285,126.633
남원읍,33.284,126.632
서귀포시,33.243,126.565
서귀포시,33.243,126.566
서귀포시,33.244,126.567
서귀포시,33.254,126.557
서귀포시,33.254,126.556
서귀포시,33.255,126.557
서귀포시,33.253,126.558
서귀포시,33.256,126.513
성산읍,33.468,126.931
서귀포시,33.259,126.569
서귀포시,33.259,126.57
서귀포시,33.253,126.572
표선면,33.383,126.8
성산읍,33.453,126.914
성산읍,33.455,126.913
대정읍,33.169,126.271
성산읍,33.446,126.886
성산읍,33.447,126.885
안덕면,33.25,126.335
안덕면,33.249,126.336
안덕면,33.25,126.334
남원읍,33.311,126.715
남원읍,33.31,126.715
남원읍,33.31,126.714
서귀포시,33.266,126.59
서귀포시,33.266,126.589
서귀포시,33.264,126.589
표선면,33.353,126.814
안덕면,33.263,126.369
안덕면,33.264,126.369
서귀포시,33.252,126.43
서귀포시,33.251,126.429
서귀포시,33.252,126.428
남원읍,33.286,126.742
남원읍,33.285,126.743
성산읍,33.346,126.852
성산읍,33.347,126.852
남원읍,33.3,126.766
서귀포시,33.253,126.53
서귀포시,33.254,126.53
서귀포시,33.254,126.527
서귀포시,33.292,126.595
서귀포시,33.293,126.595
안덕면,33.288,126.326
대정읍,33.249,126.277
대정읍,33.25,126.276
서귀포시,33.244,126.6
서귀포시,33.245,126.6
서귀포시,33.237,126.509
서귀포시,33.248,126.478
서귀포시,33.248,126.477
서귀포시,33.25,126.478
대정읍,33.232,126.238
남원읍,33.278,126.716
남원읍,33.279,126.715
남원읍,33.278,126.715
남원읍,33.281,126.717
표선면,33.306,126.8
서귀포시,33.26,126.558
서귀포시,33.261,126.559
서귀포시,33.252,126.563
서귀포시,33.252,126.562
서귀포시,33.254,126.566
서귀포시,33.252,126.565
서귀포시,33.253,126.564
서귀포시,33.254,126.564
대정읍,33.272,126.201
제주시,33.499,126.531
제주시,33.499,126.53
제주시,33.484,126.48
제주시,33.5,126.515
제주시,33.505,126.542
제주시,33.488,126.49
제주시,33.507,126.494
제주시,33.506,126.493
제주시,33.506,126.494
제주시,33.506,126.496
제주시,33.505,126.492
제주시,33.504,126.494
제주시,33.505,126.495
제주시,33.488,126.483
제주시,33.482,126.486
제주시,33.482,126.483
제주시,33.486,126.472
제주시,33.484,126.47
제주시,33.489,126.476
제주시,33.501,126.529
제주시,33.5,126.527
제주시,33.492,126.536
제주시,33.496,126.547
제주시,33.494,126.549
제주시,33.502,126.543
제주시,33.499,126.545
제주시,33.489,126.491
제주시,33.487,126.478
제주시,33.484,126.496
제주시,33.492,126.543
제주시,33.492,126.473
제주시,33.492,126.472
제주시,33.49,126.475
제주시,33.519,126.573
제주시,33.498,126.52
제주시,33.497,126.52
제주시,33.487,126.491
한림읍,33.416,126.265
한림읍,33.415,126.265
한림읍,33.414,126.263
애월읍,33.461,126.312
애월읍,33.463,126.314
제주시,33.489,126.594
제주시,33.484,126.486
제주시,33.484,126.499
제주시,33.479,126.485
제주시,33.517,126.577
제주시,33.506,126.513
제주시,33.51,126.53
제주시,33.487,126.432
제주시,33.486,126.432
제주시,33.492,126.477
제주시,33.491,126.52
제주시,33.49,126.519
제주시,33.413,126.265
제주시,33.486,126.433
제주시,33.486,126.488
제주시,33.486,126.485
제주시,33.469,126.547
제주시,33.472,126.546
제주시,33.474,126.546
제주시,33.496,126.539
제주시,33.486,126.502
제주시,33.486,126.5
제주시,33.484,126.485
제주시,33.48,126.475
제주시,33.481,126.483
제주시,33.481,126.485
제주시,33.481,126.487
제주시,33.504,126.536
제주시,33.508,126.534
제주시,33.513,126.527
제주시,33.513,126.521
제주시,33.489,126.492
제주시,33.5,126.517
제주시,33.491,126.489
제주시,33.492,126.49
제주시,33.49,126.49
제주시,33.5,126.513
제주시,33.515,126.527
제주시,33.514,126.526
제주시,33.49,126.526
제주시,33.49,126.523
제주시,33.498,126.514
제주시,33.506,126.53
제주시,33.511,126.523
제주시,33.476,126.55
제주시,33.474,126.55
제주시,33.474,126.542
애월읍,33.482,126.415
조천읍,33.543,126.662
조천읍,33.542,126.665
제주시,33.515,126.525
제주시,33.517,126.525
제주시,33.515,126.529
제주시,33.516,126.53
제주시,33.511,126.527
제주시,33.512,126.529
제주시,33.492,126.502
제주시,33.49,126.502
제주시,33.488,126.502
제주시,33.484,126.502
제주시,33.507,126.54
제주시,33.509,126.542
제주시,33.503,126.534
제주시,33.502,126.532
제주시,33.5,126.525
제주시,33.5,126.523
제주시,33.5,126.52
한림읍,33.41,126.266
한림읍,33.409,126.264
제주시,33.489,126.472
제주시,33.486,126.478
제주시,33.482,126.478
제주시,33.482,126.477
제주시,33.484,126.479
제주시,33.514,126.528
제주시,33.473,126.544
제주시,33.493,126.536
제주시,33.489,126.529
제주시,33.488,126.526
제주시,33.509,126.518
제주시,33.51,126.518
제주시,33.493,126.545
제주시,33.502,126.52
제주시,33.49,126.495
제주시,33.49,126.492
제주시,33.5,126.531
제주시,33.513,126.525
조천읍,33.543,126.668
조천읍,33.543,126.67
조천읍,33.544,126.664
조천읍,33.534,126.621
조천읍,33.538,126.64
조천읍,33.537,126.638
조천읍,33.535,126.636
제주시,33.479,126.481
제주시,33.479,126.48
제주시,33.486,126.48
제주시,33.517,126.581
제주시,33.514,126.581
제주시,33.516,126.581
제주시,33.486,126.486
제주시,33.486,126.49
제주시,33.486,126.492
제주시,33.486,126.494
제주시,33.486,126.497
애월읍,33.486,126.415
애월읍,33.483,126.413
애월읍,33.485,126.413
제주시,33.487,126.52
제주시,33.49,126.52
제주시,33.497,126.535
제주시,33.515,126.589
제주시,33.469,126.546
제주시,33.489,126.511
제주시,33.488,126.51
제주시,33.486,126.506
제주시,33.487,126.507
제주시,33.498,126.507
제주시,33.496,126.509
제주시,33.481,126.49
제주시,33.479,126.49
제주시,33.484,126.49
제주시,33.513,126.507
제주시,33.513,126.509
제주시,33.487,126.53
제주시,33.486,126.53
제주시,33.484,126.53
제주시,33.482,126.53
제주시,33.496,126.513
구좌읍,33.556,126.796
구좌읍,33.555,126.797
제주시,33.482,126.481
제주시,33.52,126.573
제주시,33.493,126.594
조천읍,33.541,126.669
제주시,33.495,126.535
제주시,33.484,126.482
제주시,33.505,126.514
제주시,33.505,126.515
제주시,33.498,126.531
제주시,33.516,126.525
애월읍,33.485,126.417
제주시,33.495,126.478
제주시,33.495,126.534
제주시,33.511,126.524
제주시,33.496,126.536
제주시,33.498,126.538
제주시,33.455,126.571
제주시,33.452,126.571
제주시,33.449,126.571
제주시,33.499,126.497
제주시,33.486,126.482
제주시,33.486,126.481
제주시,33.485,126.48
제주시,33.484,126.481
제주시,33.511,126.589
제주시,33.487,126.532
제주시,33.486,126.471
제주시,33.488,126.469
제주시,33.521,126.585
제주시,33.49,126.487
제주시,33.491,126.485
제주시,33.514,126.575
제주시,33.485,126.476
제주시,33.501,126.548
제주시,33.504,126.525
제주시,33.513,126.523
제주시,33.502,126.517
제주시,33.503,126.517
제주시,33.478,126.544
제주시,33.49,126.596
한림읍,33.411,126.263
애월읍,33.481,126.404
제주시,33.489,126.513
제주시,33.514,126.584
제주시,33.492,126.54
애월읍,33.461,126.438
제주시,33.507,126.539
제주시,33.494,126.434
조천읍,33.385,126.62
조천읍,33.387,126.618
제주시,33.518,126.534
제주시,33.522,126.545
제주시,33.523,126.547
한림읍,33.405,126.256
한림읍,33.407,126.257
