읍면동,2020전기차,2021전기차,2022전기차,2020전기차비율,2021전기차비율,2022전기차비율,2021전기차증감율,2122전기차증감율
제주특별자치도 제주시,12182.0,14432.0,18463.0,2.68,3.02,3.63,18.47,27.93
제주특별자치도 서귀포시,2968.0,3626.0,4516.0,5.28,6.31,7.7,22.17,24.54
제주특별자치도 제주시 애월읍,1192.0,1430.0,1831.0,5.13,5.97,7.48,19.97,28.04
제주특별자치도 제주시 조천읍,835.0,986.0,1273.0,5.61,6.45,8.17,18.08,29.11
제주특별자치도 제주시 한림읍,713.0,839.0,1064.0,5.61,6.42,8.1,17.67,26.82
제주특별자치도 제주시 구좌읍,533.0,622.0,793.0,5.74,6.61,8.27,16.7,27.49
제주특별자치도 제주시 한경면,311.0,375.0,488.0,5.3,6.16,7.72,20.58,30.13
제주특별자치도 제주시 우도면,61.0,69.0,88.0,5.04,5.81,7.29,13.11,27.54
제주특별자치도 제주시 추자면,59.0,67.0,84.0,7.32,8.17,9.87,13.56,25.37
제주특별자치도 서귀포시 남원읍,574.0,690.0,845.0,4.57,5.43,6.54,20.21,22.46
제주특별자치도 서귀포시 대정읍,631.0,773.0,956.0,5.17,6.24,7.59,22.5,23.67
제주특별자치도 서귀포시 성산읍,471.0,577.0,708.0,5.02,6.04,7.42,22.51,22.7
제주특별자치도 서귀포시 표선면,374.0,452.0,560.0,4.76,5.73,7.03,20.86,23.89
제주특별자치도 서귀포시 안덕면,360.0,444.0,556.0,4.62,5.54,6.75,23.33,25.23
