상호,위도,경도,주소_4
성산일출봉농협주유소,33.425,126.907,제주특별자치도 서귀포시 성산읍
혁신도시주유소,33.248,126.516,제주특별자치도 서귀포시
안덕하나주유소,33.277,126.359,제주특별자치도 서귀포시 안덕면
대정농협무릉주유소,33.269,126.204,제주특별자치도 서귀포시 대정읍
선반내주유소,33.253,126.55,제주특별자치도 서귀포시
유진주유소,33.359,126.822,제주특별자치도 서귀포시 표선면
선진주유소,33.289,126.352,제주특별자치도 서귀포시 안덕면
대정농협주유소,33.227,126.258,제주특별자치도 서귀포시 대정읍
안덕농협주유소,33.246,126.333,제주특별자치도 서귀포시 안덕면
행복주유소,33.245,126.273,제주특별자치도 서귀포시 대정읍
중문농협주유소,33.259,126.417,제주특별자치도 서귀포시
서광주유소,33.288,126.323,제주특별자치도 서귀포시 안덕면
서귀포농협주유소,33.257,126.579,제주특별자치도 서귀포시
스카이주유소,33.265,126.576,제주특별자치도 서귀포시
강정천주유소,33.233,126.483,제주특별자치도 서귀포시
최남단현대주유소,33.226,126.287,제주특별자치도 서귀포시 대정읍
신세기주유소,33.258,126.406,제주특별자치도 서귀포시
정석주유소,33.284,126.353,제주특별자치도 서귀포시 안덕면
하원주유소,33.253,126.457,제주특별자치도 서귀포시
수산주유소,33.438,126.875,제주특별자치도 서귀포시 성산읍
월드컵주유소,33.271,126.585,제주특별자치도 서귀포시
제주남원동부새마을금고주유소,33.277,126.712,제주특별자치도 서귀포시 남원읍
서귀주유소,33.248,126.569,제주특별자치도 서귀포시
(주)나현 도순주유소,33.253,126.469,제주특별자치도 서귀포시
우수주유소,33.336,126.828,제주특별자치도 서귀포시 표선면
남원농협주유소,33.284,126.721,제주특별자치도 서귀포시 남원읍
돈내코주유소,33.29,126.594,제주특별자치도 서귀포시
동광주유소,33.31,126.341,제주특별자치도 서귀포시 안덕면
희망주유소,33.261,126.537,제주특별자치도 서귀포시
㈜한라석유 탐라주유소,33.261,126.582,제주특별자치도 서귀포시
(주)금영에너지,33.262,126.399,제주특별자치도 서귀포시
초원주유소,33.249,126.505,제주특별자치도 서귀포시
그림주유소,33.314,126.826,제주특별자치도 서귀포시 표선면
동홍주유소,33.255,126.571,제주특별자치도 서귀포시
(주)태흥주유소,33.288,126.75,제주특별자치도 서귀포시 남원읍
감산주유소,33.259,126.356,제주특별자치도 서귀포시 안덕면
위미농협주유소,33.27,126.646,제주특별자치도 서귀포시 남원읍
(주)서홍주유소,33.263,126.551,제주특별자치도 서귀포시
삼화석유㈜ 법환주유소,33.247,126.551,제주특별자치도 서귀포시
환영주유소,33.266,126.576,제주특별자치도 서귀포시
한신주유소,33.255,126.413,제주특별자치도 서귀포시
대포주유소,33.252,126.449,제주특별자치도 서귀포시
희진주유소,33.376,126.873,제주특별자치도 서귀포시 성산읍
삼남석유㈜ 해맞이주유소,33.427,126.907,제주특별자치도 서귀포시 성산읍
효돈농협주유소,33.26,126.615,제주특별자치도 서귀포시
