lng_x,lat_x,관광지명,분류,합산 검색 수,내국인 관광객수,외국인 관광객수,소재지
126.563,33.249,서귀포매일올레시장,시장,267930.0,,,제주특별자치도 서귀포시
126.492,33.507,제주국제공항,교통시설,803524.0,,,제주특별자치도 제주시
126.527,33.512,동문재래시장,시장,301089.0,,,제주특별자치도 제주시
126.941,33.458,성산일출봉,자연경관(산),195037.0,108279.33333333333,34046.75,제주특별자치도 서귀포시 성산읍
126.239,33.394,협재해수욕장,자연경관(하천/해양),186252.0,,,제주특별자치도 제주시 한림읍
126.930,33.423,섭지코지,기타관광,111978.0,,,제주특별자치도 서귀포시 성산읍
126.669,33.543,함덕해수욕장,자연경관(하천/해양),195477.0,,,제주특별자치도 제주시 조천읍
126.289,33.305,오설록티뮤지엄,전시시설,109691.0,,,제주특별자치도 서귀포시 안덕면
126.304,33.450,곽지해수욕장,자연경관(하천/해양),111702.0,,,제주특별자치도 제주시 애월읍
126.425,33.237,주상절리대,기타관광,83835.0,84886.25,12601.416666666666,제주특별자치도 서귀포시
126.806,33.484,비자림,자연공원,95100.0,66344.08333333333,308.0,제주특별자치도 제주시 구좌읍
126.344,33.396,아르떼뮤지엄제주,전시시설,121863.0,,,제주특별자치도 제주시
126.314,33.231,용머리해안,기타관광,80209.0,,,제주특별자치도 서귀포시 안덕면
126.453,33.497,이호테우해변,자연경관(하천/해양),134970.0,,,제주특별자치도 제주시
126.927,33.432,아쿠아플라넷제주,테마공원,100131.0,68984.0,6323.25,제주특별자치도 서귀포시 성산읍
126.924,33.452,광치기해변,자연경관(하천/해양),49320.0,,,제주특별자치도 서귀포시 성산읍
126.369,33.289,카멜리아힐,테마공원,84286.0,51600.833333333336,8291.833333333334,제주특별자치도 제주시
126.554,33.247,천지연폭포,자연경관(산),69106.0,105491.41666666667,4804.0,제주특별자치도 서귀포시
126.411,33.245,중문색달해변,자연경관(하천/해양),61889.0,,,제주특별자치도 서귀포시
126.170,33.341,신창풍차해안도로,데이트코스,79809.0,,,제주특별자치도 제주시
126.759,33.558,김녕해수욕장,자연경관(하천/해양),78488.0,,,제주특별자치도 제주시 구좌읍
126.235,33.389,금능해수욕장,자연경관(하천/해양),77609.0,,,제주특별자치도 제주시 한림읍
126.424,33.241,제주관광공사면세점,면세점,54057.0,,,제주특별자치도 서귀포시
126.305,33.354,금오름,자연경관(산),45383.0,,,제주특별자치도 제주시 한림읍
126.571,33.244,정방폭포,자연경관(산),59728.0,60718.583333333336,4174.5,제주특별자치도 서귀포시
126.512,33.516,용두암,기타관광,65657.0,,,제주특별자치도 제주시
126.778,33.444,스누피가든,기타관광,97489.0,,,제주특별자치도 제주시
126.623,33.252,쇠소깍,기타관광,69785.0,,,제주특별자치도 서귀포시
126.357,33.366,새별오름,자연경관(산),69524.0,,,제주특별자치도 제주시 애월읍
126.796,33.555,월정리해변,자연경관(하천/해양),58431.0,,,제주특별자치도 제주시
126.769,33.527,만장굴,자연생태,51560.0,47147.666666666664,6396.75,제주특별자치도 제주시 구좌읍
126.509,33.248,이마트서귀포점,대형마트,107517.0,,,제주특별자치도 서귀포시
126.648,33.415,한라산둘레길사려니숲길,기타레저스포츠,99890.0,,,제주특별자치도 제주시
126.416,33.250,천제연폭포,자연경관(산),34715.0,38585.25,7203.416666666667,제주특별자치도 서귀포시
126.899,33.439,빛의벙커,전시시설,36761.0,,,제주특별자치도 서귀포시
126.837,33.327,표선해수욕장,자연경관(하천/해양),56866.0,,,제주특별자치도 서귀포시
126.934,33.472,성산포종합여객터미널,교통시설,76867.0,,,제주특별자치도 서귀포시
126.301,33.226,사계해수욕장,자연경관(하천/해양),48751.0,,,제주특별자치도 서귀포시
126.861,33.525,세화해수욕장,자연경관(하천/해양),36179.0,,,제주특별자치도 제주시
126.366,33.390,981파크,테마공원,52209.0,,,제주특별자치도 제주시
126.313,33.241,산방산,자연경관(산),47885.0,40050.583333333336,1022.75,제주특별자치도 서귀포시 안덕면
126.943,33.502,홍조단괴해빈,,,,,제주특별자치도 제주시
126.967,33.497,검멀레해수욕장,,,,,제주특별자치도 제주시
126.667,33.447,에코랜드테마파크,테마공원,59280.0,,,제주특별자치도 제주시 조천읍
126.455,33.464,노형수퍼마,기타문화관광지,43567.0,,,제주특별자치도 제주시
126.693,33.432,산굼부리,복합관광시설,38717.0,0.0,0.0,제주특별자치도 제주시 조천읍
126.755,33.453,비밀의숲,기타레저스포츠,34595.0,,,제주특별자치도 제주시
126.373,33.481,하귀애월해안도로,데이트코스,55610.0,,,제주특별자치도 제주시 애월읍
126.480,33.484,이마트신제주점,대형마트,78930.0,,,제주특별자치도 제주시
126.942,33.509,하우목동항,,,,,제주특별자치도 제주시
126.950,33.492,천진항,,,,,제주특별자치도 제주시
126.535,33.519,제주항연안여객터미널,교통시설,69617.0,,,제주특별자치도 제주시
126.472,33.509,도두동무지개해안도로,데이트코스,49059.0,,,제주특별자치도 제주시
126.932,33.473,성산항,자연경관(하천/해양),50090.0,,,제주특별자치도 서귀포시 성산읍
126.310,33.458,한담해안산책로,기타레저스포츠,38693.0,,,제주특별자치도 제주시
126.298,33.248,산방산탄산온천,웰니스관광,41153.0,,,제주특별자치도 서귀포시 안덕면
126.315,33.301,제주신화월드,복합관광시설,44314.0,,,제주특별자치도 서귀포시
126.449,33.246,약천사,종교성지,26876.0,,,제주특별자치도 서귀포시
126.488,33.470,수목원길야시장,시장,31281.0,,,제주특별자치도 제주시
126.289,33.206,송악산둘레길,기타레저스포츠,29885.0,,,제주특별자치도 서귀포시
126.352,33.29,헬로키티아일랜드,기타관광,30729.0,,,제주특별자치도 서귀포시 안덕면
126.299,33.304,제주항공우주박물관,전시시설,36843.0,,,제주특별자치도 서귀포시 안덕면
126.239,33.389,한림공원,도시공원,31116.0,0.0,0.0,제주특별자치도 제주시 한림읍
126.2,33.365,판포포구,자연경관(하천/해양),32023.0,,,제주특별자치도 제주시
126.753,33.413,보롬왓,기타관광,27492.0,,,제주특별자치도 서귀포시
